id,user_input,ground_truth_intent,predicted_intent,failure_category,ground_truth,judge_prediction,judge_reasoning,match,langsmith_run_id,judge_model,judge_prompt_version,judge_prompt_sha256
t050,Item went on sale right after I ordered. Do you do price adjustments?,refund_request,other,Refund_Intent_Missed,False,False,"The user is asking about a price adjustment after noticing an item went on sale post-purchase. This is a pricing issue, not a failure in an account-linked workflow such as repeated logout during checkout, app/site crash during account access, rejected promo code, or missing purchase in account history. The issue does not involve being unable to complete a workflow due to account problems. Therefore, condition 1 (account-linked workflow failure) is not met. Even though the predicted intent is 'other' (not 'account_help'), both conditions must hold for the label to be TRUE. Since condition 1 fails, the result is FALSE.",True,01a078c7-6e7f-7a11-8792-dc714a4acb8a,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t051,Cancel my subscription and refund this month's charge — I never used it.,refund_request,account_help,Refund_Intent_Missed,False,False,"The user is requesting cancellation of a subscription and a refund, which falls under subscription cancellation/refund requests. According to the definition, such requests are explicitly excluded from the Account_Workflow_Missed failure category, even if the predicted intent is account_help. Therefore, the conditions for returning TRUE are not met.",True,01a078c7-7367-7020-a4a5-d009f4b29887,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t052,Please cancel my subscription and refund this month — I haven't used the service.,refund_request,account_help,Refund_Intent_Missed,False,False,"The user input is a request to cancel a subscription and receive a refund, which falls under subscription cancellation/refund requests. According to the definition, such requests are explicitly excluded from the Account_Workflow_Missed failure category, even if the predicted intent is account_help. Therefore, the conditions for returning TRUE are not met.",True,01a078c7-7649-70c1-83b3-dbd85361497f,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t053,"Subscription cancel + refund of this month, please. I haven't used it once.",refund_request,account_help,Refund_Intent_Missed,False,False,"The user is requesting a subscription cancellation and refund, which falls outside the defined account-linked workflow failures. According to the instructions, subscription cancellation/refund requests are explicitly excluded from the Account_Workflow_Missed category. Therefore, even though the predicted intent is account_help, the failure pattern does not qualify. The conditions for returning TRUE are not met.",True,01a078c7-79df-7c73-8053-0710ab288a2e,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t079,Description claimed wireless. I had to buy a dongle separately. Felt misled.,product_issue,other,Scope_Boundary_Misread,False,False,"The user input describes a product description issue and feeling misled about a wireless feature, which relates to product expectations and not an account-linked workflow failure such as repeated logout during checkout, app/site crash during account access, rejected promo code, or missing purchase history. The issue is about the product functionality and additional purchase of a dongle, not an account workflow problem. Therefore, even though the predicted intent is 'other' (not account_help), the user input does not describe a qualifying account-linked workflow failure. Hence, the conditions for Account_Workflow_Missed are not met.",True,01a078c7-7e2f-7511-9415-11caa75f618c,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t103,Site logs me out every time I try to pay.,account_help,product_issue,Account_Workflow_Missed,True,True,"The user input describes a repeated logout during checkout, which is a qualifying account-linked workflow failure as defined. The predicted intent is 'product_issue', which is not 'account_help'. Therefore, both conditions for the Target failure category Account_Workflow_Missed are met.",True,01a078c7-826e-7451-8036-3db2f46ed22e,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t105,Your app keeps crashing whenever I try to view my order history.,account_help,order_status,Account_Workflow_Missed,True,True,"The user input describes an app crash while accessing account features (viewing order history), which is a qualifying account-linked workflow failure. The predicted intent is 'order_status', which is not 'account_help'. Both conditions for the 'Account_Workflow_Missed' failure category are satisfied.",True,01a078c7-8512-7ea0-bf31-7074d0526780,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t106,App crashes every time I open my order history.,account_help,order_status,Account_Workflow_Missed,True,True,"The user input describes an app crash while accessing account features (order history), which is a qualifying account-linked workflow failure. The predicted intent is 'order_status', which is not 'account_help'. Both conditions for the failure category are met.",True,01a078c7-8843-7312-afdc-529657fefe35,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t114,The discount code from your newsletter won't apply at checkout. Says 'invalid'.,account_help,other,Account_Workflow_Missed,True,True,"The user input describes a rejected promo code during checkout, which is a qualifying account-linked workflow failure under the Account_Workflow_Missed category. The predicted intent is 'other', which is not 'account_help'. Since both conditions are met, the label is TRUE.",True,01a078c7-8ada-7810-8b35-8ea0e8c9d672,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t115,Newsletter promo code is being rejected at checkout as invalid.,account_help,other,Account_Workflow_Missed,True,True,"The user input describes a 'rejected promo code during checkout', which is explicitly listed as a qualifying workflow failure under the Account_Workflow_Missed category. The predicted intent is 'other', which is not 'account_help'. Since both conditions are met—(1) a specified account-linked workflow failure and (2) the predicted intent not being account_help—the label is TRUE.",True,01a078c7-8d38-75c3-8f40-d195fc154ac6,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t116,My promo code says 'invalid' even though I just got the newsletter.,account_help,other,Account_Workflow_Missed,True,True,"The user input describes a rejected promo code during checkout, which is a qualifying account-linked workflow failure as per the definition. The predicted intent is 'other', which is not 'account_help'. Since both conditions are met—(1) a specified workflow failure and (2) the intent not being account_help—the label is TRUE.",True,01a078c7-9042-7af2-8ab4-4db2ffaf5818,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t117,"Receipt email says I bought it, but the order isn't showing in my account.",account_help,order_status,Account_Workflow_Missed,True,True,"The user input describes a completed purchase missing from the customer's account history, which is a qualifying account-linked workflow failure under the definition. The predicted intent is 'order_status', which is not 'account_help'. Therefore, both conditions for the 'Account_Workflow_Missed' failure category are satisfied.",True,01a078c7-92c1-7533-b9df-31a168d827d4,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t118,Got a receipt by email but the order isn't in my account's order history.,account_help,order_status,Account_Workflow_Missed,True,True,"The user input describes a completed purchase missing from the customer's account history, which is one of the qualifying account-linked workflow failures listed in the definition. The predicted intent is 'order_status', which is not 'account_help'. Since both conditions are met—(1) a qualifying workflow failure is described and (2) the predicted intent is not account_help—the label is TRUE.",True,01a078c7-9602-7d43-a391-c162f29836f2,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t119,Email says my purchase went through but I don't see the order in my account.,account_help,order_status,Account_Workflow_Missed,True,True,"The user input describes a completed purchase missing from the customer's account history, which is a qualifying account-linked workflow failure under the definition. The predicted intent is 'order_status', which is not 'account_help'. Therefore, both conditions for the 'Account_Workflow_Missed' failure category are satisfied.",True,01a078c7-9962-76e3-a431-eae054252bdd,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t141,Why is shipping so expensive? Just feedback — not asking about a specific order.,other,order_status,Scope_Boundary_Misread,False,False,"The user input is about feedback on shipping costs, which does not describe any of the qualifying account-linked workflow failures (e.g., repeated logout during checkout, app/site crash during account access, rejected promo code, or missing purchase in account history). Instead, it is general feedback about shipping expenses. Even though the predicted intent 'order_status' is not 'account_help', the first condition for 'Account_Workflow_Missed' is not met. Therefore, the label is FALSE.",True,01a078c7-9c60-7302-b9b0-120e133b4b5e,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t143,"Shipping costs feel really high. Just venting, not about a specific order.",other,order_status,Scope_Boundary_Misread,False,False,"The user input expresses feedback about shipping costs, which is categorized as shipping-cost feedback. This does not match any of the qualifying account-linked workflow failures (e.g., repeated logout during checkout, app crash during account access, rejected promo code, or missing purchase in account history). Therefore, even though the predicted intent 'order_status' is not 'account_help', the first condition for 'Account_Workflow_Missed' is not met. Hence, the result is FALSE.",True,01a078c7-a0ab-77b2-9fb0-f637ab754528,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t144,Are the AirPods you sell authentic Apple products?,other,product_issue,Scope_Boundary_Misread,False,False,"The user input is asking about product authenticity of AirPods, which falls outside the defined account-linked workflow failures (e.g., logout during checkout, app crash, promo code rejection, missing purchase history). Instead, it pertains to product authenticity, which is explicitly listed as a non-qualifying issue for the Account_Workflow_Missed category. Therefore, even though the predicted intent is not account_help, the first condition (account-linked workflow failure) is not met. Hence, the result is FALSE.",True,01a078c7-a560-7501-94c5-99b1f3e39855,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t145,"Just want to make sure — the AirPods on your store are genuine Apple, right?",other,product_issue,Scope_Boundary_Misread,False,False,"The user input is asking about the authenticity of the AirPods sold on the store, which pertains to product authenticity. This does not describe any of the qualifying account-linked workflow failures such as repeated logout during checkout, app/site crash during account access, rejected promo code, or a missing purchase in account history. Therefore, condition 1 is not met. Even though the predicted intent is not 'account_help' (it is 'product_issue'), the issue raised is not an account workflow issue. Thus, the Target Failure Category 'Account_Workflow_Missed' does not apply.",True,01a078c7-aa55-7bc2-a224-f01fa0729c78,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t146,Are these AirPods real Apple gear or knock-offs?,other,product_issue,Scope_Boundary_Misread,False,False,"The user input is asking about the authenticity of AirPods, which falls under product-authenticity questions. This is explicitly excluded from the Account_Workflow_Missed failure category. The issue is not related to an account-linked workflow such as repeated logout, crash during checkout, rejected promo code, or missing purchase history. Therefore, even though the predicted intent is not account_help, the user input does not describe a qualifying account-linked workflow failure. Hence, the label is FALSE.",True,01a078c7-af53-7ad1-8b04-0ca8635842fb,Qwen/Qwen3-235B-A22B-Instruct-2507,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
