id,user_input,ground_truth_intent,predicted_intent,failure_category,ground_truth,judge_prediction,judge_reasoning,match,langsmith_run_id,judge_model,judge_prompt_version,judge_prompt_sha256
t050,Item went on sale right after I ordered. Do you do price adjustments?,refund_request,other,Refund_Intent_Missed,False,False,"The user is asking about a price adjustment after a sale, which is a price‑adjustment request, not an account‑linked workflow failure such as logout during checkout, app crash, promo code rejection, or missing purchase in account history. Although the predicted intent is not 'account_help', the first condition is not met, so the ticket does not belong to the Account_Workflow_Missed category.",True,01a078c7-0bb7-7483-a64d-9222a96e2672,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t051,Cancel my subscription and refund this month's charge — I never used it.,refund_request,account_help,Refund_Intent_Missed,False,False,"The user is requesting a subscription cancellation and refund, which does not match any of the defined account-linked workflow failures (e.g., logout during checkout, app crash, rejected promo code, missing purchase). Therefore condition 1 is not met, and the ticket should not be flagged as Account_Workflow_Missed.",True,01a078c7-1073-77e0-a197-9f99b1afb795,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t052,Please cancel my subscription and refund this month — I haven't used the service.,refund_request,account_help,Refund_Intent_Missed,False,False,"The user is requesting a subscription cancellation and refund, which is a subscription cancellation/refund request, not an account-linked workflow failure such as logout during checkout, app crash, rejected promo code, or missing purchase. Therefore condition 1 is not met, and the ticket does not belong to the Account_Workflow_Missed failure category.",True,01a078c7-1394-7673-b409-2f82ffd210e3,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t053,"Subscription cancel + refund of this month, please. I haven't used it once.",refund_request,account_help,Refund_Intent_Missed,False,False,"The user is requesting a subscription cancellation and refund, which is a subscription cancellation/refund request, not an account-linked workflow failure such as logout during checkout, app crash, rejected promo code, or missing purchase. Therefore condition 1 is not met, and the correct output is FALSE.",True,01a078c7-16d8-71c3-b7bc-777f569de0b0,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t079,Description claimed wireless. I had to buy a dongle separately. Felt misled.,product_issue,other,Scope_Boundary_Misread,False,False,"The user is complaining about a misleading product description and the need to purchase a dongle, which is a product-related issue, not an account-linked workflow failure. Therefore, the first condition is not met, and the ticket should not be marked as Account_Workflow_Missed.",True,01a078c7-1a43-7e21-92ca-35ccb82f951d,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t103,Site logs me out every time I try to pay.,account_help,product_issue,Account_Workflow_Missed,True,True,"The user reports being logged out repeatedly during payment, which is a qualified account-linked workflow failure. The predicted intent is 'product_issue', not 'account_help'. Both conditions are met.",True,01a078c7-1d3a-70f2-ac57-b1c7f28c2a9d,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t105,Your app keeps crashing whenever I try to view my order history.,account_help,order_status,Account_Workflow_Missed,True,True,"The user reports an app crash when accessing order history, which is an account-linked workflow failure. The predicted intent is 'order_status', not 'account_help'. Both conditions are met.",True,01a078c7-1ff2-7623-b68f-9f1560df13f5,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t106,App crashes every time I open my order history.,account_help,order_status,Account_Workflow_Missed,True,True,"The user reports an app crash when accessing order history, which is an account-linked workflow failure. The predicted intent is 'order_status', not 'account_help'. Both conditions are satisfied.",True,01a078c7-2332-7aa0-92ad-0081a015979e,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t114,The discount code from your newsletter won't apply at checkout. Says 'invalid'.,account_help,other,Account_Workflow_Missed,True,True,"The user reports a rejected promo code during checkout, which is a qualifying account-linked workflow failure. The predicted intent is 'other', not 'account_help'. Both conditions are satisfied.",True,01a078c7-258f-7cd1-b577-52dd2aeb2605,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t115,Newsletter promo code is being rejected at checkout as invalid.,account_help,other,Account_Workflow_Missed,True,True,"The user reports a rejected promo code at checkout, which matches the 'rejected promo code during checkout' workflow failure. The predicted intent is 'other', not 'account_help'. Both required conditions are satisfied.",True,01a078c7-282c-7313-90f8-920926f3a583,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t116,My promo code says 'invalid' even though I just got the newsletter.,account_help,other,Account_Workflow_Missed,True,True,"The user reports a rejected promo code during checkout, which is a qualifying account-linked workflow failure. The predicted intent is 'other', not 'account_help'. Both conditions for the Account_Workflow_Missed category are met.",True,01a078c7-2b19-79a3-99ce-ad53e2c982f1,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t117,"Receipt email says I bought it, but the order isn't showing in my account.",account_help,order_status,Account_Workflow_Missed,True,True,"The user reports a completed purchase not appearing in their account, which is a qualified account-linked workflow failure. The predicted intent is 'order_status', not 'account_help', so both conditions are met.",True,01a078c7-2e86-7111-9725-64b77501a7fa,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t118,Got a receipt by email but the order isn't in my account's order history.,account_help,order_status,Account_Workflow_Missed,True,True,"The user reports a completed purchase not appearing in their account history, which is a qualified account-linked workflow failure. The predicted intent is 'order_status', not 'account_help'. Both conditions are met.",True,01a078c7-3127-7b93-8994-f89827de6e37,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t119,Email says my purchase went through but I don't see the order in my account.,account_help,order_status,Account_Workflow_Missed,True,True,"The user reports a completed purchase not appearing in their account, which is a qualified account-linked workflow failure. The predicted intent is 'order_status', not 'account_help', so both conditions are met.",True,01a078c7-3474-76f1-8fc0-70e7850dd07f,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t141,Why is shipping so expensive? Just feedback — not asking about a specific order.,other,order_status,Scope_Boundary_Misread,False,False,"The user is providing feedback about high shipping costs, which does not describe an account-linked workflow failure. Therefore the first condition is not met, and the ticket should not be marked as an Account_Workflow_Missed error.",True,01a078c7-3702-77c0-9049-203aa1ca34a8,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t143,"Shipping costs feel really high. Just venting, not about a specific order.",other,order_status,Scope_Boundary_Misread,False,False,"The user is complaining about high shipping costs, which is not an account-linked workflow failure. Therefore the first condition is not met, and the ticket should not be marked as Account_Workflow_Missed.",True,01a078c7-39a5-7af0-925e-6859e4c20997,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t144,Are the AirPods you sell authentic Apple products?,other,product_issue,Scope_Boundary_Misread,False,False,"The user is asking about product authenticity, which does not describe an account-linked workflow failure. Therefore, the first condition is not met, and the ticket should not be marked as a missed account_help classification.",True,01a078c7-3bf3-7aa0-beb9-65399bf19159,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t145,"Just want to make sure — the AirPods on your store are genuine Apple, right?",other,product_issue,Scope_Boundary_Misread,False,False,"The user is asking about product authenticity, not about an account‑linked workflow failure. Therefore condition 1 is not met, and the ticket should not be marked as an Account_Workflow_Missed error.",True,01a078c7-3efa-7c63-90e6-25a095633bec,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
t146,Are these AirPods real Apple gear or knock-offs?,other,product_issue,Scope_Boundary_Misread,False,False,"The user is asking about product authenticity, which does not describe an account-linked workflow failure. Therefore the first condition is not met, and the ticket should not be marked as Account_Workflow_Missed.",True,01a078c7-41d9-7f12-bf26-513e1a36b19b,openai/gpt-oss-120b,account-workflow-judge-v1,3ed9eed4a785356a53549dff800c93556003b82c89b5fb5d9df8609eb3b55a5c
